Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street
4957530,04/10/2017,1510,13,Newton,1377,25,M,W,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,VERNON,ALAMEDA
4958255,04/11/2017,1615,06,Hollywood,0645,21,M,B,16,Narcotic Drug Laws,M,11360(A)2HS,SALE/OFFER TO SELL/TRANSPORT MARIJUANA,HIGHLAND                     AV,JOHNNY GRANT WAY
4958491,04/11/2017,2025,13,Newton,1375,39,M,H,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,55TH                         ST,CENTRAL                      AV
4958549,04/11/2017,1805,05,Harbor,0563,21,F,H,16,Narcotic Drug Laws,M,11359(B)HS,POSSESS MARIJUANA FOR SALE,1500 S  GAFFEY                       ST,
4958561,04/11/2017,1800,05,Harbor,0563,29,F,H,16,Narcotic Drug Laws,M,11359(B)HS,POSSESS MARIJUANA FOR SALE,1500 S  GAFFEY                       ST,
4958575,04/11/2017,2000,12,77th Street,1235,27,M,H,16,Narcotic Drug Laws,M,11358(C)HS,CULTIVATING <6 MARIJUANA PLANTS,5800 S  NORMANDIE                    AV,
4958579,04/11/2017,2000,12,77th Street,1235,25,M,H,16,Narcotic Drug Laws,M,11358(C)HS,CULTIVATING <6 MARIJUANA PLANTS,5800 S  NORMANDIE                    AV,
4958597,04/11/2017,2000,12,77th Street,1235,25,M,H,16,Narcotic Drug Laws,M,11358(C)HS,CULTIVATING <6 MARIJUANA PLANTS,5800 S  NORMANDIE                    AV,
4960227,04/13/2017,1640,06,Hollywood,0636,25,M,H,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,CAHUENGA,YUCCA
4960351,04/13/2017,2015,13,Newton,1343,17,M,H,16,Narcotic Drug Laws,M,11357(A)HS,POSSESS CONCENTRATED CANNABIS,41ST                         PL,CENTRAL
4963318,04/17/2017,1200,13,Newton,1303,35,M,B,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,OLYMPIC                      BL,SAN JULIAN                   ST
4965649,04/19/2017,1800,07,Wilshire,0736,28,M,B,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,4TH,LA BREA
4966658,04/20/2017,1630,05,Harbor,0567,27,M,W,16,Narcotic Drug Laws,M,11359(B)HS,POSSESS MARIJUANA FOR SALE,PACIFIC                      AV,18TH                         ST
4966660,04/20/2017,1625,05,Harbor,0567,31,M,W,16,Narcotic Drug Laws,M,11359(B)HS,POSSESS MARIJUANA FOR SALE,1800 S  PACIFIC                      AV,
4966666,04/20/2017,1630,05,Harbor,0585,27,M,W,16,Narcotic Drug Laws,M,11359(B)HS,POSSESS MARIJUANA FOR SALE,1800 S  PACIFIC                      AV,
4966672,04/20/2017,1625,05,Harbor,0567,27,F,H,16,Narcotic Drug Laws,M,11359(B)HS,POSSESS MARIJUANA FOR SALE,1800 S  PACIFIC                      AV,
4968280,04/22/2017,1330,10,West Valley,1075,27,M,W,16,Narcotic Drug Laws,M,11359(B)HS,POSSESS MARIJUANA FOR SALE,VENTURA                      BL,ZELZAH                       ST
4968802,04/22/2017,1930,01,Central,0156,59,M,B,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,5TH,SAN JULIAN
4970647,04/25/2017,0250,21,Topanga,2158,27,M,B,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,6300    VARIEL                       AV,
4970649,04/25/2017,0250,21,Topanga,2158,30,M,B,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,6300    VARIEL                       AV,
4971126,04/25/2017,1615,11,Northeast,1116,19,M,H,16,Narcotic Drug Laws,M,11357(A)HS,POSSESS CONCENTRATED CANNABIS,5000    HUB                          ST,
4971667,04/26/2017,1115,17,Devonshire,1775,13,M,H,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,9300    PASO ROBELS                  AV,
